"","lib1_tag_ACACAC","lib1_tag_ACAGCA","lib1_tag_ACATGT","lib1_tag_ACGACG","lib1_tag_ACTAGC","lib1_tag_ACTCTG","lib1_tag_ACTGAT","lib1_tag_ATATCG","lib1_tag_ATCAGT","lib1_tag_ATGATA","lib1_tag_CACGAT","lib1_tag_CGACGC","lib1_tag_CTCGCA","lib1_tag_CTGCGT","lib1_tag_GATGAC","lib1_tag_GCAGTG","lib1_tag_GCGAGT","lib1_tag_GCGCTC","lib1_tag_GCGTAG","lib1_tag_GTCTCT","lib1_tag_TACGTG","lib1_tag_TCGCAT","lib1_tag_TCGTCA","lib1_tag_TCTGCG","lib1_tag_TGTATG","lib2_tag_ACACAC","lib2_tag_ACAGCA","lib2_tag_ACATGT","lib2_tag_ACGACG","lib2_tag_ACTAGC","lib2_tag_ACTCTG","lib2_tag_ACTGAT","lib2_tag_ATATCG","lib2_tag_ATCAGT","lib2_tag_ATGATA","lib2_tag_CACGAT","lib2_tag_CGACGC","lib2_tag_CTCGCA","lib2_tag_CTGCGT","lib2_tag_GATGAC","lib2_tag_GCAGTG","lib2_tag_GCGAGT","lib2_tag_GCGCTC","lib2_tag_GCGTAG","lib2_tag_GTCTCT","lib2_tag_TACGTG","lib2_tag_TCGCAT","lib2_tag_TCGTCA","lib2_tag_TCTGCG","lib2_tag_TGTATG","lib3_tag_ACACAC","lib3_tag_ACAGCA","lib3_tag_ACATGT","lib3_tag_ACGACG","lib3_tag_ACTAGC","lib3_tag_ACTCTG","lib3_tag_ACTGAT","lib3_tag_ATATCG","lib3_tag_ATCAGT","lib3_tag_ATGATA","lib3_tag_CACGAT","lib3_tag_CGACGC","lib3_tag_CTCGCA","lib3_tag_CTGCGT","lib3_tag_GATGAC","lib3_tag_GCAGTG","lib3_tag_GCGAGT","lib3_tag_GCGCTC","lib3_tag_GCGTAG","lib3_tag_GTCTCT","lib3_tag_TACGTG","lib3_tag_TCGCAT","lib3_tag_TCGTCA","lib3_tag_TCTGCG","lib3_tag_TGTATG"
"DUP_889",1,5,0,0,0,4,3,8,11,0,17,2,2,4,0,2,3,1,7,3,0,11,4,0,3,1,0,2,0,1,8,4,6,5,0,11,2,3,5,3,9,4,4,4,3,0,10,6,0,0,1,0,1,0,2,7,1,7,6,0,13,7,4,2,0,4,1,10,5,2,0,14,5,0,2
"DUP_890",0,0,4,0,0,9,11,0,0,0,2,2,0,0,0,1,0,0,0,25,0,14,12,0,17,0,0,8,0,0,9,11,0,1,0,0,2,0,0,0,1,0,0,1,23,0,2,20,0,21,0,0,4,0,0,5,12,0,0,0,0,0,0,0,0,1,0,0,0,17,0,6,16,0,19
"DUP_892",0,4,2,16,33,0,0,14,7,0,1,5,1,2,2,0,12,1,2,0,0,0,0,0,2,0,5,8,16,31,0,0,10,13,0,0,5,1,4,6,0,3,0,1,0,0,0,1,0,3,0,8,8,20,25,0,0,12,11,0,0,2,0,3,1,0,5,0,1,0,0,0,0,0,0
"DUP_895",0,2,0,0,0,8,5,4,5,0,11,3,4,2,0,11,3,2,3,2,0,8,2,0,1,0,0,2,0,0,12,3,10,5,0,14,1,3,5,2,6,2,4,9,2,0,14,2,0,3,1,4,3,0,0,5,3,14,9,0,17,5,2,3,2,8,0,2,7,2,0,10,2,0,2
"DUP_898",0,0,7,0,0,2,13,0,0,0,0,0,2,0,0,1,0,1,0,20,0,5,18,0,10,0,0,9,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,22,0,24,0,0,5,0,0,3,14,1,1,0,0,1,2,0,1,0,0,0,0,22,0,2,25,0,16
"DUP_902",4,6,1,0,0,0,15,5,0,1,0,9,6,0,5,17,0,6,17,0,0,0,3,0,3,4,7,1,0,0,0,15,7,0,1,0,11,11,0,3,20,0,6,14,3,0,0,0,0,3,3,7,0,0,0,0,23,5,0,1,0,10,10,0,4,14,0,7,33,0,0,0,0,0,2
"DUP_905",0,0,21,0,0,4,12,0,0,0,1,1,0,1,0,0,0,0,0,15,0,7,12,0,16,1,0,26,0,0,2,9,0,2,0,0,1,0,0,0,0,0,1,0,13,0,4,10,0,11,0,0,18,0,0,6,16,0,1,0,0,1,0,0,0,0,0,0,1,18,0,9,16,0,15
"DUP_906",0,4,3,0,1,4,0,5,7,0,9,4,3,3,1,7,4,6,1,3,0,12,1,0,3,0,4,3,0,0,7,9,7,6,0,11,3,3,4,6,7,4,4,7,1,0,4,4,0,5,0,3,3,0,0,6,6,9,8,0,12,1,4,3,2,2,0,10,4,1,0,10,1,0,6
"DUP_910",0,0,0,0,0,0,0,9,0,0,0,0,0,0,21,63,0,4,4,4,0,0,6,0,1,0,0,0,0,0,0,3,7,0,0,0,0,1,0,21,76,0,4,6,2,0,0,7,0,3,0,0,0,0,0,0,3,8,0,0,0,0,0,0,24,71,0,18,10,2,0,0,4,0,3
"DUP_911",1,2,4,0,0,4,6,5,7,0,9,3,4,0,5,3,1,4,9,2,0,6,5,0,2,0,2,2,0,1,8,4,10,9,0,18,4,5,3,4,4,2,5,6,2,0,6,4,0,4,0,1,1,0,1,6,1,5,7,0,18,3,5,0,2,3,1,8,8,4,0,5,2,0,3
